2087,2117,uima-user@incubator.apache.org
2131,2160,uima-dev@incubator.apache.org
2171,2204,uima-commits@incubator.apache.org
2087,2117,uima-user@incubator.apache.org
2131,2160,uima-dev@incubator.apache.org
2171,2204,uima-commits@incubator.apache.org
2087,2117,uima-user@incubator.apache.org
2131,2160,uima-dev@incubator.apache.org
2171,2204,uima-commits@incubator.apache.org
2087,2117,uima-user@incubator.apache.org
2131,2160,uima-dev@incubator.apache.org
2171,2204,uima-commits@incubator.apache.org
